City,Population,Number of Vegan Friendly Restaurants,All Restaurants,Vegan Restaurants per Capita,"Vegan Restaurants per 100,000",Restaurants per Capita,% of Restaurants with Vegan Option
Newcastle upon Tyne,306824,322,952,0.0010494615805803978,104.94615805803979,0.003102755977368133,33.82352941176471
Manchester,555741,517,2018,0.0009302894693751226,93.02894693751226,0.003631187909475817,25.619425173439048
Liverpool,500474,484,1599,0.0009670832051215447,96.70832051215447,0.003194971167333368,30.268918073796126
York,211012,277,694,0.001312721551380964,131.27215513809642,0.003288912478911152,39.913544668587896
Sheffield,589214,403,1252,0.0006839620239844946,68.39620239844946,0.0021248646501950057,32.18849840255591
Bradford,542128,120,640,0.0002213499394976832,22.134993949768322,0.0011805330106543104,18.75
Leeds,798786,547,1683,0.000684789167561775,68.4789167561775,0.0021069472925163936,32.50148544266192
Leicester,354036,282,1052,0.0007965291665254381,79.65291665254381,0.0029714492311516344,26.806083650190114
Nottingham,337098,311,1018,0.0009225803772196809,92.2580377219681,0.0030198933247898236,30.55009823182711
Birmingham,1140525,546,2044,0.00047872690208456634,47.87269020845663,0.001792157120624274,26.71232876712329
Norwich,142177,221,584,0.0015544005007842338,155.44005007842338,0.004107556074470554,37.84246575342466
London,9002488,5026,20178,0.0005582901082456317,55.82901082456317,0.0022413803828452757,24.908315987709386
Brighton,291738,394,1158,0.0013505268425779294,135.05268425779295,0.003969314933262036,34.024179620034545
Southampton,252872,190,789,0.0007513682811857382,75.13682811857382,0.0031201556518713025,24.081115335868187
Bournemouth,396989,218,614,0.0005491336031980735,54.913360319807346,0.0015466423502918218,35.50488599348534
Bristol,465866,481,1262,0.001032485736241752,103.2485736241752,0.002708933470139482,38.11410459587955
Cardiff,369202,328,886,0.0008884025546990537,88.84025546990537,0.002399770315437078,37.020316027088036
Edinburgh,527620,782,1934,0.0014821272885789014,148.21272885789014,0.0036655168492475644,40.43433298862461
Glasgow,635640,616,1888,0.0009691020074255868,96.91020074255869,0.002970234724057643,32.6271186440678
Belfast,342560,269,822,0.0007852638953759926,78.52638953759926,0.0023995796356842598,32.72506082725061
